Nummer des Flusses,Temperatur (°C),Fließgeschwindigkeit (m/s),Sauerstoffkonzentration (mg/l),Nitratkonzentration (mg/l),Phosphatkonzentration (mug/l),Wassergüte (1-20),Besiedlungsdichte (1-20),Entfernung von der Quelle (km),Vorkommen der Flussnapfschnecke (0/1),Eutrophierungszustand (0/1)
1,8,0.90,13.3,1.0,1,2,7,1,0,0
2,11,0.91,7.3,1.3,30,3,4,6,1,0
3,9,0.60,7.6,1.5,5,1,9,3,1,0
4,12,0.20,2.7,1.6,100,4,12,11,1,0
5,12,0.40,5.0,1.6,8,15,15,5,1,1
6,14,0.29,3.3,1.8,80,6,18,13,0,0
7,13,0.30,4.5,1.8,73,7,11,10,0,0
8,11,0.54,9.2,1.9,77,5,19,9,1,0
9,13,0.71,9.7,2.2,100,20,20,14,0,1
10,10,0.39,7.8,2.4,80,9,13,14,1,0
11,15,0.50,3.8,3.2,180,13,17,19,0,1
12,14,0.18,3.0,3.1,160,13,13,18,0,1
13,16,0.72,9.5,2.8,120,12,3,16,1,1
14,11,0.32,5.0,3.8,180,11,4,24,1,1
15,12,0.73,10.9,4.4,240,10,8,27,1,0
16,14,0.97,7.0,5.0,250,18,10,33,0,1
17,13,0.70,11.0,5.1,260,3,1,32,1,0
18,13,0.92,7.8,5.8,310,14,2,37,0,1
19,16,0.80,7.1,6.2,410,17,9,39,0,1
20,15,1.00,7.5,7.1,330,19,5,41,0,1
21,15,0.55,7.3,4.0,400,2,3,19,1,0
22,15,0.53,7.0,2.0,200,13,6,20,0,1
23,16,0.63,6.9,4.0,300,9,14,29,0,0
24,14,0.61,7.4,4.0,100,18,16,30,0,1
